vendor_name,vendor_category,vendor_state,vendor_area,vendor_city,property_type,venue_start_year,vendor_address,vendor_contact_info,vendor_google_map,no_of_rooms,per_room_price,starting_decor_price,veg_price_per_plate,nonveg_price_per_plate,destination_price,destination_details,small_party_venue,space_available,parking_policy,catering_policy,decor_policy,dj_policy,alcohol_policy,event_space_name_1,event_space_type_1,seating_guests_1,floating_guests_1,event_space_name_2,event_space_type_2,seating_guests_2,floating_guests_2,event_space_name_3,event_space_type_3,seating_guests_3,floating_guests_3,event_space_name_4,event_space_type_4,seating_guests_4,floating_guests_4,event_space_name_5,event_space_type_5,seating_guests_5,floating_guests_5,event_space_name_6,event_space_type_6,seating_guests_6,floating_guests_6,event_space_name_7,event_space_type_7,seating_guests_7,floating_guests_7,event_space_name_8,event_space_type_8,seating_guests_8,floating_guests_8
Royal Resort,Wedding Venues,83,Bhadu Market,2037,Wedding Lawn,,"Bhadu Market, Jodhpur, Rajasthan, India",9413570330,"https://www.google.com/maps?q=26.24602459999999,72.9621131",,,,Price on Request,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Outdoor space,,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol not available, Outside alcohol not permitted",Lawn ,Outdoor Area,750,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sukh Sagar Haveli,Wedding Venues,83,Gopal Bari,2037,Wedding Lawn,,"Sukh Sagar Haveli Jodhpur, chopasni road, next to prem vihar, Prem Vihar Extention, SHIKSAK COLONY, Prem Vihar, Jodhpur, Rajasthan, India",9829027799,"https://www.google.com/maps?q=26.2658453,72.9506703",5 Rooms,"8,000",,60000,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,Yes,Outdoor space,There is sufficient parking available,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ not available ,  Outside DJ not permitted","In house alcohol not available, Outside alcohol not permitted",Lawn,Outdoor Area,60,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Marriage Garden,Wedding Venues,83,Mandore,2037,Lawn & Banquet Hall,,"Pacific Marriage Garden, behind Panchayat Samiti, Mandore, Jodhpur, Rajasthan, India",9414474956,"https://www.google.com/maps?q=26.339836,73.04842599999999",,,,350,450,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,Yes,"Indoor, Outdoor space",,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol available, Outside alcohol  permitted",Hall,Indoor Area,150,250,Lawn,Outdoor Area,600,1000,,,,,,,,,,,,,,,,,,,,,,,,
Kalpvriksha,Wedding Venues,83,Paota,2037,Banquet Hall & Lawn,,"Kalpvriksha Restaurant, Paota Main Road, near suncity hospital, Bhadwasiya, Paota, Jodhpur, Rajasthan, India",9509501239,"https://www.google.com/maps?q=26.2974392,73.0387988",,,,400,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,Yes,"Indoor, Outdoor space",,Inhouse catering only,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol available, Outside alcohol not  permitted",Hall,Indoor Area,200,300,Lawn,Outdoor Area,60,100,,,,,,,,,,,,,,,,,,,,,,,,
Hotel Niky International,Wedding Venues,83,Jodhpur,2037,Hotel,,,8003192614,,36 Rooms,"5,000","75,000",2500,3000,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,Yes,Indoor space,,Outside caterering only,Outside decorators permitted,"In house DJ available, Outside DJ not permitted","In house alcohol available, Outside alcohol not  permitted",Banquet Hall & Lawn Hall,Indoor Area,50,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaakus Club Resort and Farm House,Wedding Venues,83,Jodhpur,2037,Farmhouse,,"Kakus Club Resort and Farm House Sar Sarnecha Road, Near Mamaji ka Nada, Sarencha, Luni Jodhpur , Jodhpur City, India, Rajasthan",7726980747,"https://www.google.com/maps?q=26.2603796,73.011042",4 Rooms,,,50000,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Outdoor space,There is sufficient parking available,Inhouse catering only,Inhouse decor,"In house DJ available, Outside DJ permitted","In house alcohol available, Outside alcohol  permitted",Lawn,Outdoor Area,1000,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravla Bhenswara,Wedding Venues,83,Jodhpur,2037,Wedding Lawn,,"Ravla Bhenswara, Jalore, Rajasthan, India",9828070734,"https://www.google.com/maps?q=26.7371684,72.8743127249123",,,,750,1000,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Outdoor space,,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol not available, Outside alcohol not permitted",Lawn,Outdoor Area,300,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotel Imperial Polo Ground Haveli,Wedding Venues,83,Air Force Area,2037,Lawn & Banquet Hall,,"Hotel Imperial Polo Ground Haveli, Airport Road, Air Force Area, Jodhpur, Rajasthan, India",9413570047,"https://www.google.com/maps?q=26.26433219999999,73.0400501",28 Rooms,"1,500",,500,600,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Outdoor space,,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ available, Outside DJ not permitted","In house alcohol available, Outside alcohol not  permitted",Lawn,Outdoor Area,250,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
श्री केशव गढ़ (Shree Keshavgarh),Wedding Venues,83,Jodhpur,2037,Lawn & Banquet Hall,,"श्री केशव गढ़ (Shree Keshavgarh), OFFICE, RTO Rd, New Roop Nagar, Jodhpur, Rajasthan, India",9252458458,"https://www.google.com/maps?q=26.3068816,73.0683746",,,,999,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,"Indoor, Outdoor space",There is sufficient parking available,Inhouse catering only,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol not available, Outside alcohol not permitted",Banquet Hall,Indoor Area,300,400,Lawn,Outdoor Area,4000,4500,,,,,,,,,,,,,,,,,,,,,,,,
Yashvrinda,Wedding Venues,83,Mandore,2037,Banquet Hall & Lawn,,"Yashvrinda, near Amritlal Gehlot Stadium, Chainpura, Mandore, Jodhpur, Rajasthan, India",9571711173,"https://www.google.com/maps?q=26.345126,73.05441780000001",23 Rooms,"150,000",,850,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,Yes,"Indoor, Outdoor space",There is sufficient parking available,Inhouse catering only,Inhouse decor,"In house DJ available, Outside DJ not permitted","In house alcohol not available, Outside alcohol not permitted",Banquet+Lawn,Indoor & Outdoor Area,100,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital O Hotel Js Regency,Wedding Venues,83,Jhalamand,2037,Wedding Lawn,,"Capital O Hotel Js Regency, Jaipur Bypass Road, near ST Paul School, Jhalamand, Jodhpur, Rajasthan, India",9660557283,"https://www.google.com/maps?q=26.220405,73.05311499999999",18 Rooms,,,Price on Request,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Outdoor space,There is sufficient parking available,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ not available , Outside DJ permitted","In house alcohol not available, Outside alcohol not permitted",Lawn,Outdoor Area,300,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Champa Mata Farm House,Wedding Venues,83,Jodhpur,2037,Farmhouse,,"Champa Mata Farm House, near Parihar Nagar, Mata Ka Than, Rawat Nagar, Jodhpur, Rajasthan, India",9413661913,"https://www.google.com/maps?q=26.3187004,73.0650453",,,,Price on Request,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Outdoor space,There is sufficient parking available,Inhouse catering only,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol not available, Outside alcohol  permitted",Lawn,Outdoor Area,800,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mantra A Boutique Hotel,Wedding Venues,83,Basni,2037,Banquet Hall,,"MANTRA A BOUTIQUE HOTEL, Saraswati Nagar, Madhuban, Jodhpur, Rajasthan, India",8824900340,"https://www.google.com/maps?q=26.2329813,73.0185316",21 Rooms,"2,500",,Price on Request,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,Yes,Indoor space,There is sufficient parking available,Inhouse catering only,Outside decorators permitted,"In house DJ not available ,  Outside DJ not permitted","In house alcohol not available, Outside alcohol not permitted",Hall,Indoor Area,100,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krishna Vatika,Wedding Venues,83,Air Force Area,2037,Wedding Lawn,,"Bhinmal, Jalore, Rajasthan, India",70143014661,"https://www.google.com/maps?q=26.2389469,73.02430939999999",,"10,000",,50000,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,Yes,Outdoor space,,Outside caterering only,Outside decorators permitted,"In house DJ not available , Outside DJ permitted","In house alcohol not available, Outside alcohol  permitted",Lawn,Outdoor Area,120,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajputana Palace,Wedding Venues,83,Air Force Area,2037,Fort / Palace Hotel,,"Ratanada, Airport Road, Cantt Area, Jodhpur, Rajasthan, India",2912799601,"https://www.google.com/maps?q=26.2699584,73.0377531",30 Rooms,"2,500",,Price on Request,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,Yes,Indoor space,,Inhouse catering only,Decorators from panel only,"In house DJ available, Outside DJ not permitted","In house alcohol available, Outside alcohol not  permitted",Hall ,Indoor Area,65,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Marwar Hotel,Wedding Venues,83,Air Force Area,2037,Wedding Lawn,,"Plot No. 1, High Court Colony, Opposite Swarndeep Apartments, Ratanada, Jodhpur, Rajasthan 342001",9982266000,"https://www.google.com/maps?q=26.23894689999999,73.02430939999999",23 Rooms,"3,000","25,000",1500,1500,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,Yes,Outdoor space,,Inhouse catering only,Decorators from panel only,"In house DJ available, Outside DJ permitted","In house alcohol available, Outside alcohol not  permitted",Front Lawn,Outdoor Area,150,250,Back Lawn,Outdoor Area,250,400,,,,,,,,,,,,,,,,,,,,,,,,
Harigarh Village Resort,Wedding Venues,83,Jodhpur,2037,Resort,,"Harigarh Village Resort, New Pali Rd, Jodhpur, Rajasthan, India",6377555022,"https://www.google.com/maps?q=26.1906442,73.0638967",36 Rooms,"3,000",,900,1200,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,"Indoor, Outdoor space",There is sufficient parking available,Inhouse catering only,Inhouse decor,"In house DJ not available , Outside DJ permitted","In house alcohol available, Outside alcohol  permitted",Banquet Hall,Indoor Area,300,400,Lawn,Outdoor Area,400,600,,,,,,,,,,,,,,,,,,,,,,,,
Kheteshwar Vatika,Wedding Venues,83,Bhadu Market,2037,Lawn & Banquet Hall,,"Kheteshwar Vatika And Tent House, Pal Gaon, Jodhpur, Rajasthan, India",9799717244,"https://www.google.com/maps?q=26.2188951,72.9558881",,,,500,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,"Indoor, Outdoor space",,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol not available, Outside alcohol not permitted",Lawn,Outdoor Area,600,900,Hall,Indoor Area,200,300,,,,,,,,,,,,,,,,,,,,,,,,
Gokulam Marriage Garden,Wedding Venues,83,Mandore,2037,Wedding Lawn,,"Gokulam Marriage Garden, Magra Punjla, Jodhpur, Rajasthan, India",9784434234,"https://www.google.com/maps?q=26.3338872,73.0666375",,,,350,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Outdoor space,,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol not available, Outside alcohol not permitted",Lawn,Outdoor Area,1000,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTC Resorts and Water Park,Wedding Venues,83,Jodhpur,2037,Lawn & Banquet Hall,,"OTC Resorts And Water Park, opp. gramin police line, Daijar, Rajasthan, India",9660061100,"https://www.google.com/maps?q=26.4079797,73.05642089999999",10 Rooms,"3,000",,1000,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,"Indoor, Outdoor space",There is sufficient parking available,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ not available , Outside DJ permitted","In house alcohol not available, Outside alcohol  permitted",Hall,Indoor Area,250,350,Lawn,Outdoor Area,1400,1500,,,,,,,,,,,,,,,,,,,,,,,,
Pal Garh Heritage Hotel,Wedding Venues,83,Pal Gaon,2037,Fort / Palace Hotel,,"Pal Garh Heritage Hotel Jodhpur, Pal Garh, Pal village, Jodhpur, Rajasthan, India",823333328,"https://www.google.com/maps?q=26.2197428,72.9610993",18 Rooms,"4,500",,Price on Request,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,Yes,"Indoor, Outdoor space",,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol available, Outside alcohol not  permitted",Lawn,Outdoor Area,250,450,Hall,Indoor Area,60,100,,,,,,,,,,,,,,,,,,,,,,,,
